ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concat,len,AVGIF,SEARCH,,,,,
27,pop,51,3592,124000,1,40.96617889,17.11647987,6800,pop51,3,27.52066469,2,,,,,
28,sport,51,3531,100000,1,40.97645187,14.17228031,4950,sport51,5,26.78718305,3,,,,,
29,lounge,51,762,28900,1,45.13167191,8.449170113,10640,lounge51,6,173.5161684,2,,,,,
30,lounge,51,670,4000,1,41.34975052,13.35332012,9500,lounge51,6,155.3406141,2,,,,,
31,lounge,62,2769,59216,1,43.78237152,11.25498962,6990,lounge62,6,29.50934029,2,,,,,
32,lounge,51,4169,99477,2,40.55056381,14.22562504,5900,lounge51,6,26.94404721,2,,,,,
33,lounge,51,821,21730,2,41.90322113,12.49565029,10500,lounge51,6,185.6797743,2,,,,,
34,sport,51,3927,140000,2,40.75593185,14.69019032,5200,sport51,5,27.11153054,3,,,,,
35,lounge,51,640,32033,2,44.28387833,11.88813972,9790,lounge51,6,149.8344036,2,,,,,
36,pop,51,3653,138116,2,40.63317108,17.63460922,5000,pop51,3,27.81694508,2,,,,,
37,pop,51,852,17000,1,45.50516129,8.939100266,8990,pop51,3,191.6888523,2,,,,,
38,pop,51,3013,58527,1,45.68825912,8.731450081,7200,pop51,3,26.6049273,2,,,,,
39,sport,51,790,43100,1,45.33407974,11.37687016,9950,sport51,5,179.74219,3,,,,,
40,pop,51,1858,13373,1,41.90322113,12.49565029,9000,pop51,3,26.59971786,2,,,,,
41,sport,51,4139,119000,1,45.34931946,7.742599964,4890,sport51,5,26.27297986,3,,,,,
42,pop,51,609,28500,1,45.74602127,9.049969673,10900,pop51,3,143.1591982,2,,,,,
43,pop,51,1096,83000,1,41.95972061,12.79805565,7900,pop51,3,26.68944407,2,,,,,
44,lounge,73,4049,98000,1,38.2181282,15.2402401,5999,lounge73,6,31.86459208,2,,,,,
45,lounge,51,456,12693,1,45.39360046,10.48223972,10900,lounge51,6,112.775168,2,,,,,
46,lounge,51,762,14586,1,42.34196854,12.35848999,10500,lounge51,6,173.7400917,2,,,,,
47,lounge,51,821,27640,1,41.90322113,12.49565029,10400,lounge51,6,185.4797743,2,,,,,
48,lounge,51,2039,49000,1,41.90322113,12.49565029,7500,lounge51,6,26.59971786,2,,,,,
49,sport,51,3684,160000,1,45.4054718,10.27828979,4900,sport51,5,26.9209404,3,,,,,
50,sport,51,4596,107000,1,40.84590149,14.36927032,4300,sport51,5,26.80379295,3,,,,,
51,lounge,51,2192,66000,1,40.8401413,14.25226021,6999,lounge51,6,26.77310038,2,,,,,
52,sport,51,790,35000,1,45.33407974,11.37687016,10200,sport51,5,179.74219,3,,,,,
53,pop,51,1186,24651,1,41.90322113,12.49565029,9300,pop51,3,26.59971786,2,,,,,
54,sport,62,3288,71900,1,41.06240082,14.27388,5990,sport62,5,29.58407021,3,,,,,
55,lounge,51,701,11200,1,46.17649841,9.903670311,10600,lounge51,6,161.8160337,2,,,,,
56,lounge,51,3288,124050,1,43.86997986,10.3398304,5500,lounge51,6,26.55245257,2,,,,,
57,pop,51,1066,69395,1,45.23141098,9.592889786,7450,pop51,3,26.70607519,2,,,,,
58,lounge,51,456,17961,1,45.39360046,10.48223972,10900,lounge51,6,112.775168,2,,,,,
59,lounge,51,670,18669,1,45.0007019,7.68227005,10990,lounge51,6,154.9365944,2,,,,,
60,pop,51,1431,22700,1,41.90322113,12.49565029,8900,pop51,3,26.59971786,2,,,,,
61,lounge,51,4169,56000,1,45.46796036,9.181779861,5900,lounge51,6,26.66243506,2,,,,,
62,lounge,51,701,22669,1,45.06967926,7.704919815,9500,lounge51,6,161.1549198,2,,,,,
63,pop,73,2557,50000,1,42.15787888,11.90227985,8250,pop73,3,32.01503968,2,,,,,
64,lounge,51,2343,39743,1,45.69522858,9.669509888,8800,lounge51,6,26.84118462,2,,,,,
65,lounge,51,456,27466,1,45.39360046,10.48223972,9800,lounge51,6,112.775168,2,,,,,
66,lounge,51,548,22609,1,45.6958313,9.180390358,9900,lounge51,6,130.9752443,2,,,,,
67,pop,51,1461,94485,1,44.50883865,11.46907997,7450,pop51,3,26.99447966,2,,,,,
68,sport,51,4261,188000,1,41.06240082,14.27388,4490,sport51,5,26.83407021,3,,,,,
69,lounge,51,2343,94000,1,45.43811035,12.31814957,7400,lounge51,6,27.43906498,2,,,,,
70,pop,51,2192,60786,1,43.9381218,10.91257954,7900,pop51,3,26.71267534,2,,,,,
71,pop,51,1096,41950,1,41.66950989,12.50222969,10700,pop51,3,26.5429349,2,,,,,
72,lounge,51,456,16971,1,45.39360046,10.48223972,10900,lounge51,6,112.775168,2,,,,,
73,lounge,51,4108,45300,1,41.29956055,13.03258991,7400,lounge51,6,26.58303762,2,,,,,
74,lounge,51,4108,45300,1,41.29956055,13.03258991,7400,lounge51,6,26.58303762,2,,,,,
75,lounge,51,3227,75359,1,45.06967926,7.704919815,7800,lounge51,6,26.19364977,2,,,,,
76,lounge,51,366,12585,1,45.06967926,7.704919815,9900,lounge51,6,94.15491982,2,,,,,
77,pop,62,2101,103000,1,45.79785919,8.644439697,7900,pop62,3,29.36057472,2,,,,,
78,sport,51,2739,77149,3,44.75489044,8.031900406,7800,sport51,5,26.69669771,3,,,,,
79,lounge,51,456,13587,3,45.39360046,10.48223972,10900,lounge51,6,113.175168,2,,,,,
80,lounge,51,1797,55595,3,45.76697922,11.73840046,7800,lounge51,6,27.87634492,2,,,,,
81,lounge,51,397,17250,3,45.06967926,7.704919815,10050,lounge51,6,100.7549198,2,,,,,
82,sport,51,4292,145000,3,41.06240082,14.27388,4799,sport51,5,27.33407021,3,,,,,
83,lounge,51,790,20849,1,41.90322113,12.49565029,8100,lounge51,6,179.2797743,2,,,,,
84,lounge,51,3988,107375,1,41.37656021,14.07629967,5800,lounge51,6,26.86321497,2,,,,,
85,pop,63,2009,100000,1,45.31818008,9.105690002,7500,pop63,3,29.60596752,2,,,,,
86,lounge,51,456,17841,1,45.39360046,10.48223972,10900,lounge51,6,112.775168,2,,,,,
87,lounge,51,762,44778,1,45.5712204,9.159139633,9390,lounge51,6,173.746072,2,,,,,
88,pop,51,3258,78681,1,45.67927933,9.237190247,7490,pop51,3,26.72911739,2,,,,,
89,pop,51,4474,123000,1,40.63317108,17.63460922,4900,pop51,3,27.56694508,2,,,,,
90,lounge,51,397,17912,1,41.83264923,12.75259972,9970,lounge51,6,100.7170498,2,,,,,
91,lounge,51,1066,69916,1,41.80298996,12.59893036,8980,lounge51,6,26.60048008,2,,,,,
92,lounge,51,2647,97700,1,44.50883865,11.46907997,7450,lounge51,6,26.99447966,2,,,,,
93,pop,51,366,11500,1,45.70724869,11.4776001,9500,pop51,3,95.03696976,2,,,,,
94,lounge,51,397,17250,1,45.46796036,9.181779861,10050,lounge51,6,100.729948,2,,,,,
95,lounge,51,366,12372,1,38.91444016,16.58436012,10465,lounge51,6,94.69976006,2,,,,,
96,sport,51,4292,165600,1,44.71540833,11.30830002,5950,sport51,5,27.00592709,3,,,,,
97,pop,51,1066,28000,1,41.7690506,12.66281033,8500,pop51,3,26.60796523,2,,,,,
98,sport,51,2009,86000,2,40.63317108,17.63460922,7800,sport51,5,27.81694508,3,,,,,
99,lounge,51,456,18592,2,45.39360046,10.48223972,10900,lounge51,6,112.975168,2,,,,,
100,pop,51,731,41558,2,45.5712204,9.159139633,8790,pop51,3,167.746072,2,,,,,
101,pop,51,4018,96000,2,44.29430008,9.674440384,5700,pop51,3,26.74218512,2,,,,,
102,lounge,51,701,19000,1,41.26411057,13.74499035,10000,lounge51,6,161.6018202,2,,,,,
103,lounge,51,397,18183,1,41.83264923,12.75259972,9970,lounge51,6,100.7170498,2,,,,,
104,lounge,51,1066,69916,1,41.80298996,12.59893036,8980,lounge51,6,26.60048008,2,,,,,
105,pop,51,2647,75500,1,44.50883865,11.46907997,7500,pop51,3,26.99447966,2,,,,,
106,pop,51,1827,39500,1,45.67340088,9.926890373,9800,pop51,3,26.90007281,2,,,,,
107,lounge,51,397,17250,1,41.90322113,12.49565029,10050,lounge51,6,100.6797743,2,,,,,
108,pop,51,3835,128000,1,45.76464844,8.99450016,4900,pop51,3,26.68978715,2,,,,,
109,pop,51,366,12929,1,45.55654907,9.534469604,9400,pop51,3,94.61820373,2,,,,,
110,lounge,51,3562,113254,2,44.30582047,8.483639717,6100,lounge51,6,26.44736505,2,,,,,
111,lounge,51,366,18000,1,41.26411057,13.74499035,10700,lounge51,6,94.60182018,2,,,,,
112,lounge,51,397,16643,1,41.83264923,12.75259972,9970,lounge51,6,100.7170498,2,,,,,
113,lounge,51,2892,92300,1,43.88206863,11.10035038,7500,lounge51,6,26.74560475,2,,,,,
114,lounge,51,640,34873,1,40.85889816,14.35719013,9500,lounge51,6,149.4432177,2,,,,,
115,sport,51,4018,102000,1,41.35784912,13.42463017,6500,sport51,5,26.69561982,3,,,,,
116,lounge,51,397,16135,1,45.35776901,9.612210274,10650,lounge51,6,100.7939959,2,,,,,
117,lounge,51,3865,95350,1,41.90322113,12.49565029,5500,lounge51,6,26.59971786,2,,,,,
118,lounge,51,425,19909,1,45.72071838,7.321430206,10950,lounge51,6,106.0084297,2,,,,,
119,lounge,51,425,16518,1,44.39997101,8.274499893,11000,lounge51,6,105.9348942,2,,,,,
120,pop,62,3135,113000,1,45.43811035,12.31814957,5800,pop62,3,30.18906498,2,,,,,
121,pop,51,1096,50000,1,40.92166901,14.19626999,9500,pop51,3,26.77948475,2,,,,,
122,pop,62,3013,120000,1,45.06967926,7.704919815,4900,pop62,3,28.94364977,2,,,,,
123,lounge,51,3227,105000,1,45.6848793,9.717909813,6500,lounge51,6,26.85069728,2,,,,,
124,lounge,51,2831,104000,1,45.96493149,12.6445303,6000,lounge51,6,27.65236545,2,,,,,
125,pop,51,2831,56779,4,41.90322113,12.49565029,7500,pop51,3,27.34971786,2,,,,,
126,lounge,51,397,17590,1,41.83264923,12.75259972,9970,lounge51,6,100.7170498,2,,,,,
127,pop,51,1127,7772,1,41.06985092,15.05898952,9000,pop51,3,27.03221011,2,,,,,
128,lounge,51,2861,85000,1,45.6095314,10.20856953,7700,lounge51,6,26.95452523,2,,,,,
129,lounge,51,3623,75900,1,43.78237152,11.25498962,6300,lounge51,6,26.75934029,2,,,,,
130,lounge,51,1127,21400,1,44.33253098,7.545919895,9500,lounge51,6,25.96961272,2,,,,,
131,lounge,51,4292,112400,1,45.70610046,11.80737019,5000,lounge51,6,27.37836766,2,,,,,
132,lounge,51,366,18590,1,40.39588928,18.12977982,10900,lounge51,6,95.30513382,2,,,,,
133,sport,51,3988,175000,1,45.7012291,8.812990189,4800,sport51,5,26.62855482,3,,,,,
134,lounge,51,701,22700,1,45.7768898,9.306159973,10250,lounge51,6,161.61661,2,,,,,
135,pop,51,1096,50000,1,40.92166901,14.19626999,9500,pop51,3,26.77948475,2,,,,,
136,lounge,62,3470,110000,1,40.83581161,14.50440979,4990,lounge62,6,29.58505535,2,,,,,
137,pop,51,1400,49000,1,45.60689163,9.306619644,8200,pop51,3,26.72837782,2,,,,,
138,lounge,51,790,34012,1,45.43878937,10.76424026,10550,lounge51,6,179.6406059,2,,,,,
139,lounge,51,1155,53589,1,45.23141098,9.592889786,8950,lounge51,6,26.70607519,2,,,,,
140,lounge,51,397,14431,1,41.83264923,12.75259972,9970,lounge51,6,100.7170498,2,,,,,
141,lounge,51,2953,80000,1,45.58409119,9.270959854,6900,lounge51,6,26.71376276,2,,,,,
142,lounge,51,4169,81900,2,45.44327164,10.2302103,4900,lounge51,6,27.16837049,2,,,,,
143,lounge,51,3074,124100,2,45.52497864,9.522139549,6700,lounge51,6,27.01177955,2,,,,,
144,pop,51,1827,46000,1,45.66292953,11.60243034,7800,pop51,3,27.31633997,2,,,,,
145,lounge,74,4230,176000,1,42.92044067,13.83355045,4990,lounge74,6,32.93849778,2,,,,,
146,lounge,51,366,13124,1,45.72071838,7.321430206,10950,lounge51,6,94.20842972,2,,,,,
147,lounge,51,4018,152900,1,43.06753159,12.55154991,5500,lounge51,6,26.90477038,2,,,,,
148,lounge,51,762,15917,1,40.93085098,14.52859974,9900,lounge51,6,173.8918901,2,,,,,
149,sport,51,4383,74000,1,43.52069855,13.23808002,6900,sport51,5,27.18969464,3,,,,,
150,lounge,51,456,13215,1,39.29122162,16.25251389,9490,lounge51,6,112.7087471,2,,,,,
151,lounge,51,366,14732,1,45.74074173,12.23266983,9950,lounge51,6,95.19468231,2,,,,,
152,lounge,51,2892,67000,1,45.67483902,9.687859535,7900,lounge51,6,26.84067464,2,,,,,
153,lounge,51,790,39916,1,40.75220871,14.45341015,10279,lounge51,6,179.4411238,2,,,,,
154,lounge,51,397,13600,1,41.90322113,12.49565029,9970,lounge51,6,100.6797743,2,,,,,
155,lounge,51,701,21580,1,41.12586975,16.86665916,11090,lounge51,6,162.1985058,2,,,,,
156,lounge,51,3500,106000,1,41.27293015,16.41847038,5600,lounge51,6,27.42285013,2,,,,,
157,lounge,51,1858,35304,1,45.64609909,10.49915981,8000,lounge51,6,27.03631473,2,,,,,
158,lounge,51,4018,174000,1,42.92044067,13.83355045,5400,lounge51,6,27.18849778,2,,,,,
159,lounge,51,1886,51786,1,40.78419113,14.36966991,7990,lounge51,6,26.78846526,2,,,,,
160,lounge,51,456,56779,1,45.43811035,12.31814957,10800,lounge51,6,113.151252,2,,,,,
161,lounge,51,3409,70000,1,41.90322113,12.49565029,5800,lounge51,6,26.59971786,2,,,,,
162,pop,51,3409,56779,1,42.45336914,14.14037991,8700,pop51,3,27.14843726,2,,,,,
163,lounge,51,397,16755,1,39.29122162,16.25251389,9490,lounge51,6,100.9087471,2,,,,,
164,pop,51,701,48268,1,45.58409119,9.270959854,9000,pop51,3,161.5710102,2,,,,,
165,pop,51,3531,97000,1,45.67483902,9.687859535,6500,pop51,3,26.84067464,2,,,,,
166,lounge,51,790,39916,1,41.90322113,12.49565029,10280,lounge51,6,179.2797743,2,,,,,
167,pop,51,3804,114000,1,45.60697174,9.629229546,4500,pop51,3,26.80905032,2,,,,,
168,lounge,51,397,15341,1,45.35776901,9.612210274,10950,lounge51,6,100.7939959,2,,,,,
169,lounge,51,3531,83000,1,40.63317108,17.63460922,5900,lounge51,6,27.56694508,2,,,,,
170,pop,51,2496,57200,1,41.90322113,12.49565029,7900,pop51,3,26.59971786,2,,,,,
171,lounge,51,2892,96685,1,40.69556046,14.48085022,5900,lounge51,6,26.79410267,2,,,,,
172,lounge,51,366,17272,1,38.12207031,13.36112022,11000,lounge51,6,93.89663811,2,,,,,
173,sport,51,4077,124000,1,41.15206146,15.08308983,4250,sport51,5,27.05878782,3,,,,,
174,lounge,51,731,24700,1,41.90322113,12.49565029,9450,lounge51,6,167.4797743,2,,,,,
175,pop,51,578,5000,1,40.8401413,14.25226021,8900,pop51,3,137.0184803,2,,,,,
176,lounge,51,456,19133,1,45.39360046,10.48223972,10900,lounge51,6,112.775168,2,,,,,
177,lounge,51,456,11998,1,39.29122162,16.25251389,9590,lounge51,6,112.7087471,2,,,,,
178,pop,51,790,39461,1,40.92649078,14.4764204,10800,pop51,3,179.4805822,2,,,,,
179,lounge,51,1066,1232,1,45.46796036,9.181779861,9900,lounge51,6,26.66243506,2,,,,,
180,lounge,51,790,39916,1,41.80298996,12.59893036,10280,lounge51,6,179.2803841,2,,,,,
181,lounge,51,1308,23500,1,43.81702042,10.68284988,9800,lounge51,6,26.62496758,2,,,,,
182,lounge,51,397,14991,1,45.35776901,9.612210274,10950,lounge51,6,100.7939959,2,,,,,
183,lounge,51,2496,104000,1,40.46537018,17.25053978,6900,lounge51,6,27.42897749,2,,,,,
184,lounge,51,3378,132000,2,45.69522858,9.669509888,4800,lounge51,6,27.09118462,2,,,,,
185,lounge,51,548,20000,1,45.46350098,9.913140297,9600,lounge51,6,131.0753283,2,,,,,
186,lounge,51,487,18337,1,39.33176041,16.18132973,10500,lounge51,6,118.902618,2,,,,,
187,pop,51,1400,25282,1,45.06967926,7.704919815,8200,pop51,3,26.19364977,2,,,,,
188,lounge,51,4322,117000,1,45.32979965,10.12679958,5399,lounge51,6,26.86414981,2,,,,,
189,lounge,51,3197,160403,1,41.35784912,13.42463017,5500,lounge51,6,26.69561982,2,,,,,
190,lounge,51,1431,81900,1,44.13837051,12.23882008,10000,lounge51,6,27.09429765,2,,,,,
191,lounge,51,821,19000,1,44.98873901,9.010499954,9990,lounge51,6,185.3998478,2,,,,,
192,pop,51,670,45000,1,41.90322113,12.49565029,10670,pop51,3,155.2797743,2,,,,,
193,lounge,51,670,38000,1,45.54597855,12.16055965,8900,lounge51,6,155.9413076,2,,,,,
194,pop,51,4353,76000,1,45.85166168,9.391869545,5500,pop51,3,26.81088281,2,,,,,
195,lounge,51,3227,142000,1,44.29430008,9.674440384,4900,lounge51,6,26.49218512,2,,,,,
196,lounge,51,517,9150,1,44.41175842,12.2040596,10600,lounge51,6,125.1231636,2,,,,,
197,pop,51,1552,52026,1,45.06967926,7.704919815,6900,pop51,3,26.19364977,2,,,,,
198,lounge,51,2282,145150,2,45.38684082,11.79088974,6800,lounge51,6,27.54443264,2,,,,,
199,lounge,51,397,19783,2,38.12207031,13.36112022,11000,lounge51,6,100.2966381,2,,,,,
200,lounge,51,3743,105610,2,37.72787857,12.88747025,4900,lounge51,6,25.90383721,2,,,,,
201,lounge,51,1035,18000,1,41.90322113,12.49565029,10990,lounge51,6,26.59971786,2,,,,,
202,lounge,51,1461,54000,1,38.12207031,13.36112022,10000,lounge51,6,25.87079763,2,,,,,
203,pop,51,852,10400,1,45.7907486,8.746919632,10400,pop51,3,191.7075336,2,,,,,
204,lounge,51,762,22000,1,44.98873901,9.010499954,9790,lounge51,6,173.5998478,2,,,,,
205,lounge,51,4505,102502,1,45.06967926,7.704919815,5700,lounge51,6,26.19364977,2,,,,,
206,lounge,51,366,10000,1,45.54597855,12.16055965,10990,lounge51,6,95.14130764,2,,,,,
207,lounge,51,4292,124000,1,41.90322113,12.49565029,5300,lounge51,6,26.59971786,2,,,,,
208,lounge,51,397,14284,1,45.35776901,9.612210274,10850,lounge51,6,100.7939959,2,,,,,
209,pop,62,1917,37900,1,45.77878189,11.84053993,7600,pop62,3,30.15483046,2,,,,,
210,pop,51,2588,88000,1,43.88206863,11.10035038,5500,pop51,3,26.74560475,2,,,,,
211,lounge,51,456,13600,1,45.73727036,11.38978958,10400,lounge51,6,113.025412,2,,,,,
212,pop,51,2557,52000,1,40.69672012,14.51916027,6900,pop51,3,26.8039701,2,,,,,
213,lounge,51,1247,27464,1,45.61695862,9.422280312,8200,lounge51,6,26.75980973,2,,,,,
214,lounge,51,425,23212,1,45.35438919,11.86925983,10500,lounge51,6,106.8447298,2,,,,,
215,sport,51,3592,99180,1,43.62332916,11.46354008,6700,sport51,5,26.77171731,3,,,,,
216,lounge,51,701,25000,1,44.98873901,9.010499954,9790,lounge51,6,161.3998478,2,,,,,
217,lounge,51,1247,39600,1,41.90322113,12.49565029,8500,lounge51,6,26.59971786,2,,,,,
218,lounge,51,3044,132000,1,37.8167305,12.86872005,7900,lounge51,6,25.67136264,2,,,,,
219,pop,51,790,48000,1,45.38145828,9.155489922,8500,pop51,3,179.3073896,2,,,,,
220,lounge,51,4018,118000,2,44.06312943,12.44701004,5100,lounge51,6,27.37753487,2,,,,,
221,lounge,51,3927,121000,2,41.90322113,12.49565029,4500,lounge51,6,26.84971786,2,,,,,
222,lounge,51,2131,59753,1,44.43400955,10.40653992,6900,lounge51,6,26.71013737,2,,,,,
223,lounge,51,1886,56500,1,45.46796036,9.181779861,8500,lounge51,6,26.66243506,2,,,,,
224,lounge,51,397,18019,1,38.12207031,13.36112022,11000,lounge51,6,100.0966381,2,,,,,
225,lounge,51,3712,108000,1,45.56040955,8.059780121,6600,lounge51,6,26.40504742,2,,,,,
226,sport,73,3896,120000,1,44.29430008,9.674440384,5100,sport73,5,31.99218512,3,,,,,
227,lounge,51,3896,120000,1,44.11185837,9.958860397,5900,lounge51,6,26.51767969,2,,,,,
228,lounge,51,425,18233,1,45.35438919,11.86925983,10500,lounge51,6,106.8447298,2,,,,,
229,lounge,51,456,10062,1,45.81475067,8.830129623,10700,lounge51,6,112.5289761,2,,,,,
230,pop,51,701,16000,1,44.98873901,9.010499954,9190,pop51,3,161.3998478,2,,,,,
231,lounge,51,1370,64658,1,45.75424957,9.312749863,9435,lounge51,6,26.76674986,2,,,,,
232,lounge,51,670,25000,1,45.07889938,9.302300453,10500,lounge51,6,155.27624,2,,,,,
233,sport,51,2466,113000,1,46.79201889,11.98031998,6600,sport51,5,27.69308472,3,,,,,
234,pop,62,3258,84740,1,45.3355217,11.78584003,6900,pop62,3,30.03034043,2,,,,,
235,pop,51,2374,81600,1,43.9381218,10.91257954,7600,pop51,3,26.71267534,2,,,,,
236,lounge,51,762,8500,1,44.69252014,10.10396004,10800,lounge51,6,173.759296,2,,,,,
237,lounge,51,366,14089,1,42.56283188,12.64220047,10900,lounge51,6,94.64100647,2,,,,,
238,lounge,51,2374,90000,1,44.28387833,11.88813972,7900,lounge51,6,27.04300451,2,,,,,
239,pop,51,1583,38000,1,41.90322113,12.49565029,8900,pop51,3,26.59971786,2,,,,,
240,lounge,51,821,13500,1,41.90322113,12.49565029,10300,lounge51,6,185.4797743,2,,,,,
241,lounge,51,397,13105,1,45.35438919,11.86925983,10500,lounge51,6,101.2447298,2,,,,,
242,lounge,51,670,33608,1,43.06753159,12.55154991,10900,lounge51,6,155.5238163,2,,,,,
243,pop,51,3288,90000,1,43.9126091,12.90561008,6900,pop51,3,27.2045548,2,,,,,
244,lounge,51,821,32150,1,45.51256943,10.32901001,9950,lounge51,6,185.7683159,2,,,,,
245,lounge,51,4018,68000,1,45.07889938,9.302300453,5800,lounge51,6,26.59529996,2,,,,,
246,lounge,51,2466,127000,1,44.13837051,12.23882008,6300,lounge51,6,27.09429765,2,,,,,
247,lounge,51,762,13236,2,40.69556046,14.48085022,10300,lounge51,6,174.0352821,2,,,,,
248,lounge,51,366,20653,2,45.70724869,11.4776001,10500,lounge51,6,95.23696976,2,,,,,
249,lounge,51,366,10909,2,38.12207031,13.36112022,11000,lounge51,6,94.09663811,2,,,,,
250,lounge,51,425,15000,2,44.55202866,7.725810051,10950,lounge51,6,106.0555677,2,,,,,
251,lounge,51,1858,12000,2,40.87839127,14.14029026,10500,lounge51,6,27.00467038,2,,,,,
252,lounge,51,790,39162,2,45.46796036,9.181779861,9990,lounge51,6,179.529948,2,,,,,
253,lounge,51,790,27595,2,45.68825912,8.731450081,10200,lounge51,6,179.4839418,2,,,,,
254,lounge,51,790,23040,2,41.90322113,12.49565029,8000,lounge51,6,179.4797743,2,,,,,
255,lounge,51,397,12780,2,44.90724182,8.611559868,10500,lounge51,6,100.7037603,2,,,,,
256,lounge,51,790,30758,2,45.51256943,10.32901001,9950,lounge51,6,179.7683159,2,,,,,
257,pop,51,1127,50000,1,41.90322113,12.49565029,8250,pop51,3,26.59971786,2,,,,,
258,pop,51,3439,125684,1,43.87985992,10.78281021,4390,pop51,3,26.66566753,2,,,,,
259,pop,51,366,22148,1,45.6835289,11.95294952,9500,pop51,3,95.12729568,2,,,,,
260,lounge,51,366,71200,1,44.03533173,10.13949013,8900,lounge51,6,94.43496437,2,,,,,
261,lounge,51,1127,44000,1,44.70143127,7.972080231,9500,lounge51,6,26.16837788,2,,,,,
262,lounge,51,425,18702,1,38.12207031,13.36112022,11000,lounge51,6,105.6966381,2,,,,,
263,pop,51,2131,40388,1,45.0127182,7.821589947,8390,pop51,3,26.20857704,2,,,,,
264,lounge,73,4658,143000,1,45.06967926,7.704919815,4500,lounge73,6,31.69364977,2,,,,,
265,lounge,51,790,31650,1,45.68825912,8.731450081,10200,lounge51,6,179.2839418,2,,,,,
266,lounge,51,670,35000,1,41.90322113,12.49565029,10470,lounge51,6,155.2797743,2,,,,,
267,pop,62,1066,34464,1,43.78237152,11.25498962,7500,pop62,3,29.50934029,2,,,,,
268,lounge,51,670,15214,1,37.6079483,12.96685028,10800,lounge51,6,154.5149597,2,,,,,
269,lounge,51,4383,135762,1,43.87985992,10.78281021,3390,lounge51,6,26.66566753,2,,,,,
270,lounge,51,3319,89179,2,45.6100502,9.242340088,7500,lounge51,6,26.96309757,2,,,,,
271,pop,51,2192,53428,2,45.46796036,9.181779861,6990,pop51,3,26.91243506,2,,,,,
272,lounge,51,397,13980,2,45.46580124,8.88640976,9980,lounge51,6,100.8704422,2,,,,,
273,lounge,51,366,14816,2,38.12207031,13.36112022,11000,lounge51,6,94.09663811,2,,,,,
274,lounge,51,731,33070,2,41.10787964,14.20880985,10900,lounge51,6,167.8633379,2,,,,,
275,lounge,51,2374,102600,1,40.96617889,17.11647987,6800,lounge51,6,27.52066469,2,,,,,
276,pop,51,1827,45000,1,41.90322113,12.49565029,8200,pop51,3,26.59971786,2,,,,,
277,pop,66,3957,83000,1,41.90322113,12.49565029,5800,pop66,3,30.34971786,2,,,,,
278,lounge,51,701,21000,1,44.71540833,11.30830002,10900,lounge51,6,161.8047417,2,,,,,
